Word,Most Repeated Number,Count
the,2,260
and,2,203
to,50,212
of,2,181
in,2,150
a,2,84
or,50,101
you,50,144
your,50,126
this,50,52
be,50,39
with,50,52
as,2,47
by,2,56
may,50,40
Wikimedia,50,82
for,2,48
we,50,85
is,50,40
that,50,56
are,2,40
on,2,32
use,50,59
our,50,72
We,50,61
cars,2,67
car,2,62
not,50,41
can,50,37
information,50,55
more,50,29
The,2,37
from,2,32
was,2,44
Personal,50,48
Information,50,48
have,2,24
Other,3,2
reasons,3,2
message,3,2
displayed:,3,2
about,50,30
an,2,17
Sites,50,38
other,50,19
such,2,20
also,2,14
it,50,22
their,50,17
first,2,32
In,2,22
which,2,21
will,50,26
Policy,50,32
if,50,26
some,50,20
vehicles,2,29
at,2,14
how,50,26
do,50,27
were,2,25
all,52,9
Privacy,50,26
any,50,18
This,50,11
these,50,16
include,2,16
For,50,18
used,50,14
but,2,9
data,50,21
You,50,16
page,50,5
public,50,16
If,50,18
receive,50,21
so,50,11
only,50,12
search,32,5
vehicle,2,19
they,2,13
like,50,13
us,50,18
been,2,15
production,2,18
users,50,16
access,50,18
when,50,12
Benz,2,17
his,2,17
time,50,11
create,50,11
make,50,15
share,50,13
address,50,16
request,50,12
Policy.,50,17
Sites.,50,17
than,2,13
fuel,2,16
example,50,11
email,50,15
built,2,15
engine,2,15
made,50,9
through,50,10
using,50,9
provide,50,13
please,50,13
user,50,15
them,50,8
electric,2,14
It,2,9
who,52,5
mobile,50,12
help,50,12
what,50,10
had,2,13
would,2,5
technologies,50,11
projects,52,10
account,50,11
see,50,8
want,50,12
IP,50,13
legal,50,12
one,2,11
most,2,6
created,50,4
often,2,7
Daimler,2,12
new,2,5
improve,50,11
Car/wiki/Car,39,2
Foundation,50,8
believe,50,10
understand,50,12
road,2,11
variety,50,6
line,2,10
no,50,7
policies,50,8
service,50,10
learn,50,10
better,50,11
Ford,2,10
Cars,2,10
controls,2,10
These,50,5
combustion,2,10
before,2,6
change,50,6
benefits,2,10
has,2,8
limited,2,5
including,2,5
name,50,6
includes,52,5
otherwise,50,8
services,50,9
results,39,2
third-party,50,10
FAQ.,50,10
providers,50,10
disclose,50,10
people,2,4
transport,2,9
designed,2,8
internal,2,9
systems,2,7
fossil,2,9
costs,2,9
interest,50,6
its,2,7
place,2,5
under,2,4
location,50,7
automatically,50,8
See,50,2
whether,50,3
device,50,9
necessary,50,9
run,2,5
while,2,6
US,2,8
after,2,5
features,50,5
air,2,8
early,2,8
less,2,6
many,2,6
world's,2,8
each,2,5
Maybach,2,8
patent,2,8
between,2,7
up,2,6
companies,2,8
there,2,6
version,50,7
based,2,5
could,2,6
work,50,6
brakes,2,8
However,50,6
via,50,7
without,50,5
Please,50,7
To,50,7
privacy,50,8
protect,50,7
and/or,50,6
automobile,2,7
part,2,5
pollution,2,7
automotive,2,7
industry,2,7
steam,2,7
development,2,7
company,2,7
sold,2,7
France,2,7
Because,50,6
set,2,4
petrol,2,7
assembly,2,7
As,50,4
result,2,4
certain,50,6
countries,2,6
local,50,3
Some,2,5
cities,2,7
increased,2,6
physical,50,3
types,50,4
publicly,50,6
contributions,50,6
Wikipedia,9,4
keep,50,6
further,50,6
experience,50,6
Create,31,1
wiki!,31,1
does,50,4
below,50,4
list,50,6
should,50,6
give,50,7
you.,50,7
technical,50,6
applies,52,5
Site,50,7
except,50,7
visit,50,7
stored,50,7
legitimate,50,7
reasonably,50,6
Code,52,7
Conduct,52,7
inventor,2,6
Motor,2,6
world,2,5
petrol-driven,2,6
individual,2,4
largest,2,5
usage,2,3
China,2,6
now,2,6
Britain,2,6
out,50,5
two,2,6
engines,2,6
United,2,4
against,2,3
own,2,4
others,2,4
year,2,6
already,2,3
produced,2,6
another,2,3
per,2,6
different,50,4
well,2,2
power,2,5
lights,2,6
typically,2,4
safer,50,5
carbon,2,6
date,50,5
personal,50,4
cannot,50,5
need,50,4
found.,31,1
collect,50,6
consent,50,6
described,50,6
contribute,50,6
cookies,50,6
understanding,50,6
particular,50,6
contribution,50,6
username,50,6
aggregated,50,6
device.,50,6
Your,50,6
abuse,50,4
ask,50,6
administrative,50,6
Universal,52,6
behaviour,52,6
motor,2,5
Most,2,5
roads,2,5
French,2,5
steam-powered,2,5
became,2,5
where,2,3
considered,52,3
driving,2,5
2020s,2,5
history,50,3
There,2,4
(if,50,4
maintaining,2,3
end,2,5
increasing,2,5
English,2,3
1895,2,5
long,2,4
powered,2,5
generally,50,4
Many,2,5
major,2,5
founded,2,3
They,2,3
producing,2,5
years,2,5
because,2,3
never,50,3
New,2,4
even,2,3
country,50,3
diesel,2,5
designs,2,5
over,2,4
000,2,5
Ford's,2,5
safety,2,5
instead,2,4
European,2,3
due,2,5
gain,50,4
into,2,3
(such,50,4
groups,50,3
consumption,2,5
edit,9,3
members,52,4
regarding,50,4
contact,50,4
site,50,2
community,50,2
review,39,2
content,50,3
language,50,3
free,50,5
knowledge,50,5
to:,52,3
organization,50,5
Information.,50,5
collection,50,5
collected,50,5
tool,50,5
show,50,4
password,50,5
event,50,4
confidential,50,5
provided,50,5
examples,50,5
upload,50,5
photo,50,5
metadata,50,5
preferences,50,5
locally,50,5
manage,50,5
comply,50,5
applicable,50,5
law.,50,5
notifications,50,5
rights,50,5
developers,50,5
spaces,52,5
A,2,4
de,2,4
Rivaz,2,4
modern,2,4
1886,2,4
German,2,4
available,2,3
during,2,4
American,2,4
rapidly,2,4
Europe,2,4
parts,2,4
developed,2,4
added,2,3
making,2,3
climate,2,4
100,2,4
maintenance,2,3
taxes,2,4
society,2,4
health,2,4
transportation,2,4
creation,2,2
turn,2,4
Great,2,4
auto,2,4
driver,2,4
model,2,4
cars.,2,4
called,2,4
develop,2,2
oil,2,4
hydrogen,2,4
design,2,4
Although,2,4
same,2,4
manufacturer,2,4
sales,2,4
very,2,4
specific,50,3
going,50,3
rapid,2,4
shared,2,4
those,2,2
cent,2,4
environmental,2,4
must,2,3
alternative,2,4
hybrid,2,4
million,2,4
growth,2,4
battery,2,4
(and,2,2
always,50,3
response,50,3
expected,2,2
needed],2,4
average,2,4
creating,50,2
least,50,3
found,50,3
everyone,52,2
permission,50,3
questions,50,3
participants,52,3
draft,39,2
default,32,2
setting,32,2
checking,39,2
know,50,3
nor,50,3
participate,50,2
committed,50,3
things,50,4
real,50,3
possible,50,3
tracking,50,4
ensure,50,4
third,50,4
situations,50,3
information.,50,4
sites,50,4
post,50,4
When,50,4
Internet,50,4
associated,50,4
content.,50,2
above,50,4
commonly-used,50,4
online,50,2
type,50,4
greater,50,4
security,50,4
note,50,4
obligations.,50,4
requests,50,4
legally,50,4
procedures,50,4
transferred,50,4
harassment,52,3
contractors,50,4
researchers,50,4
update,50,4
U.S.,50,4
following,52,3
events,52,4
contributors,52,4
four,2,3
practical,2,3
Carl,2,3
patented,2,3
20th,2,3
Model,2,3
horse-drawn,2,3
did,2,3
increase,2,3
until,2,2
parking,2,3
passenger,2,3
decades,2,3
additional,2,2
cost,2,3
use.,2,3
noise,2,3
Traffic,2,3
cause,2,3
mobility,2,3
economic,2,3
travel,2,3
revenue,2,3
move,2,3
around,2,3
believed,2,2
both,2,3
referred,2,2
attested,2,3
British,2,3
form,52,2
mission,2,1
in),50,2
carry,2,3
known,2,2
he,2,3
His,2,3
vehicle.,2,3
maintain,2,2
century,2,3
